Name,BSE Code,NSE Code,Industry Group,Industry
Bhagawati Oxygen,509449,,Chemicals & Petrochemicals,Commodity Chemicals
Guj. Terce Labs.,524314,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Orissa Minerals,590086,ORISSAMINE,Minerals & Mining,Industrial Minerals
M K Exim India,538890,,Retailing,Distributors
Ampvolts,535719,,Power,Power Distribution
Prima Plastics,530589,,Consumer Durables,Plastic Products - Consumer
Vapi Enterprise,502589,,"Paper, Forest & Jute Products",Paper & Paper Products
Lakhotia Poly.,535387,,Textiles & Apparels,Other Textile Products
United Credit,531091,,Finance,Non Banking Financial Company (NBFC)
Span Divergent,524727,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Kody Technolab,,KODYTECH,IT - Software,Computers - Software & Consulting
Finkurve Fin.,508954,FINKURVE,Finance,Non Banking Financial Company (NBFC)
Gilada Finance,538788,,Finance,Non Banking Financial Company (NBFC)
IDBI Bank,500116,IDBI,Banks,Private Sector Bank
Saumya Cons,539218,,Finance,Non Banking Financial Company (NBFC)
Mini Diamonds(I),523373,,Consumer Durables,"Gems, Jewellery And Watches"
Manaksia Alumi.,539045,MANAKALUCO,Non - Ferrous Metals,Aluminium
Landsmill Green,533090,LANDSMILL,Commercial Services & Supplies,Trading & Distributors
Jupiter Wagons,533272,JWL,Industrial Manufacturing,Railway Wagons
Mysore Petro,506734,,Chemicals & Petrochemicals,Trading - Chemicals
Cranex,522001,,Industrial Manufacturing,Industrial Products
Star Delta Trans,539255,,Electrical Equipment,Heavy Electrical Equipment
Fabino Enter,543444,,Pharmaceuticals & Biotechnology,Pharmaceuticals
CL Educate,540403,CLEDUCATE,Other Consumer Services,Education
Sambhaav Media,511630,SAMBHAAV,Media,Electronic Media
I G Petrochems,500199,IGPL,Chemicals & Petrochemicals,Commodity Chemicals
Tomorrow Tech.,512018,,Finance,Other Financial Services
Speciality Rest.,534425,SPECIALITY,Leisure Services,Restaurants
Sundaram Brake,590072,SUNDRMBRAK,Auto Components,Auto Components & Equipments
Asi Industries,502015,,Minerals & Mining,Industrial Minerals
Moongipa Capital,530167,,Finance,Non Banking Financial Company (NBFC)
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals & Biotechnology,Pharmaceuticals
Refex Industries,532884,REFEX,Chemicals & Petrochemicals,Industrial Gases
Tai Industries,519483,,Commercial Services & Supplies,Trading & Distributors
Maxgrow India,521167,,Consumer Durables,"Gems, Jewellery And Watches"
Aeonx Digital,524594,,IT - Services,IT Enabled Services
AAVAS Financiers,541988,AAVAS,Finance,Housing Finance Company
3B Films,544412,,Industrial Products,Packaging
Classic Electrod,,CLASSICEIL,Industrial Products,Other Industrial Products
Nandan Denim,532641,NDL,Textiles & Apparels,Other Textile Products
Lactose (India),524202,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Lykis,530689,,Commercial Services & Supplies,Trading & Distributors
Resonance Speci.,524218,,Chemicals & Petrochemicals,Specialty Chemicals
T N Steel Tubes,513540,,Industrial Products,Iron & Steel Products
Trident,521064,TRIDENT,Textiles & Apparels,Other Textile Products
Sabrimala Indus.,540132,,Commercial Services & Supplies,Trading & Distributors
Eighty Jewellers,543518,,Consumer Durables,"Gems, Jewellery And Watches"
Shyamkamal Inv,505515,,Finance,Other Financial Services
DAPS Advertising,543651,,Media,Advertising & Media Agencies
Pil Italica Life,500327,PILITA,Consumer Durables,Plastic Products - Consumer
NRB Indl Bearing,535458,NIBL,Industrial Products,Abrasives & Bearings
Ambitious Plasto,526439,,Commercial Services & Supplies,Trading & Distributors
Electrost.Cast.,500128,ELECTCAST,Industrial Products,Iron & Steel Products
Paramount Dye,,PARAMOUNT,Textiles & Apparels,Other Textile Products
Onyx Biotec,,ONYX,Pharmaceuticals & Biotechnology,Pharmaceuticals
Riba Textiles,531952,,Textiles & Apparels,Other Textile Products
Gajanan Sec.Serv,538609,,Finance,Other Financial Services
Piccadily Sugar,507498,,Agricultural Food & other Products,Sugar
Ashish Polyplast,530429,,Industrial Products,Plastic Products - Industrial
Chandrima Mercan,540829,,Commercial Services & Supplies,Trading & Distributors
Super Tannery,523842,,Consumer Durables,Leather And Leather Products
Navkar Corporat.,539332,NAVKARCORP,Transport Services,Logistics Solution Provider
Indo National,504058,NIPPOBATRY,Household Products,Household Products
Rajgor Castor,,RCDL,Agricultural Food & other Products,Edible Oil
Nupur Recyclers,,NRL,Metals & Minerals Trading,Trading - Metals
Crane Infra,538770,,Realty,"Residential, Commercial Projects"
Vindhya Telelink,517015,VINDHYATEL,Telecom - Services,Telecom - Infrastructure
Hi-Green Carbon,,HIGREEN,Other Utilities,Waste Management
Ambalal Sarabhai,500009,,Pharmaceuticals & Biotechnology,Pharmaceuticals
BCL Industries,524332,BCLIND,Beverages,Breweries & Distilleries
Suryaamba Spinni,533101,,Textiles & Apparels,Other Textile Products
Taneja Aerospace,522229,,Aerospace & Defense,Aerospace & Defense
B P Capital,536965,,Finance,Non Banking Financial Company (NBFC)
Kabra Jewels,,KKJEWELS,Consumer Durables,"Gems, Jewellery And Watches"
Sh. Rajas. Synt.,503837,,Textiles & Apparels,Other Textile Products
Unicommerce,544227,UNIECOM,IT - Software,Software Products
Inducto Steel,532001,,Industrial Products,Iron & Steel Products
NAPS Global,544373,,Textiles & Apparels,Other Textile Products
Ganga Bath Fitt.,,GANGABATH,Consumer Durables,Sanitary Ware
Winsome Brew.,526471,,Beverages,Breweries & Distilleries
Arunaya Organics,,ARUNAYA,Chemicals & Petrochemicals,Dyes And Pigments
Servotech Renew,,SERVOTECH,Electrical Equipment,Other Electrical Equipment
Dev Information,543462,DEVIT,IT - Services,IT Enabled Services
C J Gelatine,507515,,Chemicals & Petrochemicals,Specialty Chemicals
Naturite Agro,538926,,Agricultural Food & other Products,Other Agricultural Products
India Cem. Cap.,511355,,Finance,Non Banking Financial Company (NBFC)
T N Telecom.,523419,TNTELE,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
Scintilla Comm,538857,,Finance,Non Banking Financial Company (NBFC)
Ashoka Refinerie,526983,,Agricultural Food & other Products,Other Agricultural Products
Indo Tech.Trans.,532717,INDOTECH,Electrical Equipment,Heavy Electrical Equipment
Bazel Internatio,539946,,Finance,Non Banking Financial Company (NBFC)
Suyog Telematics,537259,SUYOG,Telecom - Services,Telecom - Infrastructure
Yajur Fibres,544676,,Textiles & Apparels,Other Textile Products
PAE,517230,,Auto Components,Auto Components & Equipments
Landmark Global,544341,,Leisure Services,"Tour, Travel Related Services"
Narmadesh Brass,544680,,Industrial Products,Other Industrial Products
MPIL Corporation,500450,,Finance,Other Financial Services
Vels Film,,VELS,Entertainment,"Film Production, Distribution & Exhibition"
Ramco Systems,532370,RAMCOSYS,IT - Software,Software Products
Madhav Infra,539894,,Construction,Civil Construction
BSL,514045,BSL,Textiles & Apparels,Other Textile Products
Safecure Service,544596,,Other Consumer Services,Other Consumer Services
Womancart,,WOMANCART,Retailing,E-Retail/ E-Commerce
Aritas Vinyl,544683,,Consumer Durables,Leather And Leather Products
Zodiac-JRD MKJ,512587,,Consumer Durables,"Gems, Jewellery And Watches"
Josts Engg. Co.,505750,,Industrial Manufacturing,Industrial Products
